iter	Passed	Remaining
537	7517	6455
538	7528	6439
539	7539	6422
540	7552	6407
541	7566	6393
542	7578	6378
543	7592	6364
544	7604	6349
545	7616	6333
546	7630	6319
547	7645	6305
548	7657	6290
549	7670	6275
550	7685	6262
551	7701	6250
552	7717	6238
553	7732	6225
554	7744	6209
555	7760	6197
556	7775	6183
557	7787	6168
558	7799	6152
559	7811	6137
560	7825	6123
561	7838	6108
562	7852	6094
563	7871	6084
564	7885	6071
565	7896	6054
566	7906	6038
567	7916	6021
568	7927	6005
569	7938	5988
570	7949	5972
571	7959	5956
572	7970	5939
573	7981	5923
574	7992	5907
575	8002	5890
576	8012	5874
577	8023	5858
578	8034	5841
579	8045	5825
580	8055	5809
581	8066	5793
582	8077	5777
583	8088	5761
584	8100	5746
585	8110	5729
586	8121	5713
587	8131	5697
588	8141	5681
589	8152	5665
590	8163	5649
591	8173	5633
592	8184	5617
593	8195	5601
594	8205	5585
595	8216	5569
596	8226	5553
597	8237	5537
598	8248	5522
599	8259	5506
600	8273	5492
601	8302	5489
602	8314	5473
603	8324	5458
604	8335	5442
605	8346	5426
606	8358	5411
607	8368	5395
608	8379	5379
609	8389	5363
610	8400	5348
611	8410	5332
612	8421	5316
613	8431	5300
614	8442	5285
615	8453	5269
616	8463	5253
617	8474	5238
618	8484	5222
619	8495	5207
620	8506	5191
621	8517	5175
622	8527	5160
623	8537	5144
624	8554	5132
625	8572	5121
626	8583	5106
627	8594	5090
628	8604	5075
629	8615	5059
630	8626	5044
631	8637	5029
632	8648	5014
633	8660	4999
634	8670	4983
635	8681	4968
636	8690	4952
637	8700	4936
638	8711	4921
639	8723	4906
640	8734	4891
641	8749	4879
642	8763	4865
643	8779	4853
644	8793	4839
645	8803	4824
646	8814	4809
647	8830	4796
648	8843	4782
649	8855	4768
650	8867	4753
651	8879	4739
652	8893	4726
653	8910	4713
654	8921	4698
655	8933	4684
656	8946	4670
657	8965	4659
658	8981	4647
659	8997	4635
660	9009	4620
661	9019	4605
662	9031	4590
663	9041	4575
664	9052	4560
665	9062	4545
666	9073	4529
667	9084	4514
668	9094	4499
669	9103	4484
670	9114	4468
671	9125	4453
672	9135	4438
673	9148	4425
674	9158	4409
675	9169	4394
676	9180	4380
677	9191	4365
678	9201	4349
679	9212	4335
680	9222	4320
681	9233	4305
682	9243	4290
683	9254	4275
684	9264	4260
685	9275	4245
686	9285	4230
687	9296	4215
688	9307	4201
689	9318	4186
690	9350	4181
691	9363	4167
692	9374	4152
693	9385	4138
694	9396	4123
695	9407	4109
696	9418	4094
697	9430	4080
698	9441	4065
699	9452	4050
700	9466	4037
701	9477	4023
702	9488	4008
703	9500	3994
704	9511	3980
705	9522	3965
706	9532	3950
707	9544	3936
708	9555	3921
709	9566	3907
710	9578	3893
711	9590	3879
712	9601	3865
713	9613	3850
714	9624	3836
715	9635	3821
716	9646	3807
717	9657	3793
718	9669	3778
719	9680	3764
720	9691	3750
721	9703	3736
722	9714	3721
723	9725	3707
724	9737	3693
725	9748	3679
726	9760	3665
727	9771	3650
728	9791	3639
729	9808	3627
730	9820	3613
731	9833	3600
732	9846	3586
733	9862	3574
734	9875	3560
735	9887	3546
736	9901	3533
737	9916	3520
738	9934	3508
739	9954	3497
740	9968	3484
741	9979	3469
742	9990	3455
743	10001	3441
744	10012	3427
745	10023	3412
746	10034	3398
747	10045	3384
748	10056	3370
749	10067	3355
750	10078	3341
751	10088	3327
752	10099	3312
753	10110	3298
754	10121	3284
755	10132	3270
756	10143	3256
757	10154	3241
758	10164	3227
759	10175	3213
760	10186	3199
761	10197	3184
762	10208	3170
763	10219	3156
764	10229	3142
765	10240	3128
766	10251	3114
767	10262	3100
768	10273	3085
769	10283	3071
770	10294	3057
771	10305	3043
772	10316	3029
773	10327	3015
774	10338	3001
775	10349	2987
776	10365	2974
777	10398	2967
778	10408	2952
779	10419	2938
780	10430	2924
781	10441	2910
782	10452	2896
783	10463	2882
784	10473	2868
785	10484	2854
786	10495	2840
787	10505	2826
788	10515	2812
789	10526	2798
790	10537	2784
791	10547	2770
792	10558	2756
793	10569	2742
794	10584	2729
795	10595	2715
796	10606	2701
797	10616	2687
798	10627	2673
799	10638	2659
800	10648	2645
801	10659	2631
802	10670	2617
803	10680	2603
804	10691	2589
805	10702	2575
806	10713	2562
807	10723	2548
808	10734	2534
809	10744	2520
810	10755	2506
811	10766	2492
812	10777	2478
813	10787	2465
814	10798	2451
815	10813	2438
816	10825	2424
817	10836	2411
818	10847	2397
819	10862	2384
820	10873	2370
821	10884	2357
822	10898	2343
823	10909	2330
824	10926	2317
825	10938	2304
826	10951	2290
827	10974	2279
828	10989	2266
829	11000	2253
830	11018	2240
831	11029	2227
832	11041	2213
833	11052	2199
834	11062	2186
835	11073	2172
836	11084	2158
837	11095	2144
838	11105	2131
839	11116	2117
840	11127	2103
841	11138	2090
842	11150	2076
843	11161	2063
844	11172	2049
845	11183	2035
846	11193	2021
847	11204	2008
848	11214	1994
849	11224	1980
850	11234	1967
851	11245	1953
852	11256	1939
853	11266	1926
854	11276	1912
855	11288	1898
856	11298	1885
857	11308	1871
858	11319	1858
859	11330	1844
860	11340	1830
861	11351	1817
862	11361	1803
863	11372	1790
864	11382	1776
865	11444	1770
866	11463	1758
867	11474	1745
868	11492	1732
869	11506	1719
870	11517	1705
871	11527	1692
872	11537	1678
873	11549	1665
874	11560	1651
875	11571	1637
876	11581	1624
877	11592	1610
878	11603	1597
879	11614	1583
880	11625	1570
881	11636	1556
882	11647	1543
883	11658	1529
884	11669	1516
885	11680	1502
886	11691	1489
887	11701	1475
